fecha: Tue Oct 16 22:03:47 COT 2018
250.txt , cantidad de paquetes enviados:4096 , tamanio del paquete (con encabezado): 64KB
Funciono, cantidad de paquetes recibidos, tiempo, cliente
false,3989,24884,1
false,4072,25713,2
false,4079,25735,3
false,4046,25178,4
false,4087,25752,5
false,4066,25710,6
false,4042,25134,7
false,4030,25330,8
false,4046,25560,9
false,4059,25496,10
false,4046,25413,11
false,4028,25219,12
false,4045,25279,13
false,4039,25223,14
false,3973,24807,15
false,4045,25281,16
false,3979,24775,17
false,4045,25296,18
false,3971,24698,19
false,4055,25490,20
false,4006,24813,21
false,3957,24555,22
false,4009,25097,23
false,4071,25425,24
false,3978,24772,25
