fecha: Tue Oct 16 22:08:53 COT 2018
250.txt , cantidad de paquetes enviados:4096 , tamanio del paquete (con encabezado): 64KB
Funciono, cantidad de paquetes recibidos, tiempo, cliente
false,4047,25609,1
false,4058,25588,2
false,4056,25634,3
false,4063,25728,4
false,4064,25734,5
false,4052,25712,6
false,4070,25877,7
false,4054,25662,8
false,4074,25816,9
false,4052,25495,10
false,4053,25702,11
false,4060,25625,12
false,4052,25581,13
false,4037,25154,14
false,4059,25522,15
false,4049,25090,16
false,4063,25907,17
false,4049,25475,18
false,4071,25837,19
false,4063,25720,20
false,4051,25586,21
false,4065,25769,22
false,4054,25690,23
false,4053,25624,24
false,4054,25540,25
