fecha: Tue Oct 16 21:41:34 COT 2018
250.txt , cantidad de paquetes enviados:4096 , tamanio del paquete (con encabezado): 64KB
Funciono, cantidad de paquetes recibidos, tiempo, cliente
false,4087,25322,1
false,4083,25259,2
false,4085,25323,3
false,4083,25333,4
false,4088,25338,5
false,4088,25324,6
false,4087,25356,7
false,4081,25273,8
false,4087,25354,9
false,4086,25323,10
